Id,Name,Creation date,Last update,Deleted at,Created by / Source,Created by / Workspace Member ID,Created by / Name,Created by / Context,Project Requested Date,Website Property Link Id,Invoice Date,Project Completion Date,Hosting Status,Revenue Amount / Amount,Revenue Amount / Currency,Invoice Number,Project Category,Invoice Status
4fe5bf0a-ed2b-4c28-9b77-d5e5c55f1adf,5 Star,2025-09-28T16:16:37.217Z,2025-09-29T17:37:24.442Z,,API,,Twenty Backoffice API,{},2025-08-27T00:00:00.000Z,b39f3746-514f-46a3-a9e3-cfced169682b,,2025-09-11T00:00:00.000Z,ACTIVE,200,USD,,MIGRATION,UNPAID
a04b1f95-37fd-4105-8106-2d082093aa02,Auto Concierge,2025-09-28T18:24:10.234Z,2025-09-29T17:50:46.757Z,,MANUAL,e5965a9e-320c-4d03-aab4-c621309d7a82, ,{},2025-06-20T00:00:00.000Z,b502108f-9927-458a-af86-11b6632fbf94,,2025-06-30T00:00:00.000Z,ACTIVE,175,USD,,LANDING_PAGE,UNPAID
f38437c9-4f88-442d-b7f5-9958a84f9bc8,Automotive Elegance,2025-09-28T18:33:14.570Z,2025-09-29T17:54:45.656Z,,MANUAL,e5965a9e-320c-4d03-aab4-c621309d7a82, ,{},2025-06-11T00:00:00.000Z,68cc5aac-3131-429a-9883-c37e330f5251,,2025-07-18T00:00:00.000Z,ACTIVE,750,USD,,CUSTOM_DEVELOPMENT,UNPAID
1884db2f-4ea6-4c8c-98ff-e5ec0c2d1176,Blackout AZ,2025-09-29T12:38:56.498Z,2025-09-29T12:39:29.787Z,,MANUAL,e5965a9e-320c-4d03-aab4-c621309d7a82, ,{},2025-09-26T00:00:00.000Z,fbf014d0-2f13-441b-aefb-e0ac2950e384,,2025-09-29T00:00:00.000Z,ACTIVE,200,USD,,MIGRATION,UNPAID
3c50b19b-8d86-47d7-a990-b246aa9d75fb,Evolved Tinting Solutions,2025-09-28T16:16:23.564Z,2025-09-29T17:26:11.716Z,,API,,Twenty Backoffice API,{},2025-05-15T00:00:00.000Z,7caa6ee5-6b7b-4d7d-b297-9e1355f4195c,,2025-08-13T00:00:00.000Z,ACTIVE,125,USD,,MIGRATION,UNPAID
4b2cdb2f-04e8-4776-b4e9-93f5db9760b8,Guardian Window Tinting,2025-09-28T17:51:51.684Z,2025-09-29T17:48:34.795Z,,MANUAL,e5965a9e-320c-4d03-aab4-c621309d7a82, ,{},2025-06-20T00:00:00.000Z,a57d0b37-4a9f-4d8f-bd92-b34ade259c88,,2025-07-01T00:00:00.000Z,ACTIVE,175,USD,,LANDING_PAGE,UNPAID
f5615e83-b2f4-4c31-b359-f99655f239aa,HomeSimply,2025-09-28T16:16:26.152Z,2025-09-29T16:47:45.646Z,,API,,Twenty Backoffice API,{},2025-09-27T00:00:00.000Z,068357ce-dcf5-44f8-ac4c-8cdbc9a7d2e2,,2025-09-29T00:00:00.000Z,ACTIVE,200,USD,,MIGRATION,UNPAID
0270c11b-ab22-4092-9621-605406477965,Lindsay and Lindsay,2025-09-28T16:16:51.020Z,2025-09-29T17:46:21.093Z,,API,,Twenty Backoffice API,{},2025-09-23T00:00:00.000Z,da097c2f-d0a3-49cc-8c2f-8f49b1f4defc,,2025-09-25T00:00:00.000Z,ACTIVE,200,USD,,MIGRATION,UNPAID
5931412f-5507-4ba8-83d2-9c72c1ed6e58,OCD Tint & PPF,2025-09-28T16:16:33.350Z,2025-09-29T17:38:06.649Z,,API,,Twenty Backoffice API,{},2025-08-07T00:00:00.000Z,a3c44237-ef0f-4b35-853a-49b57c63a7ed,,2025-08-11T00:00:00.000Z,ACTIVE,200,USD,,MIGRATION,UNPAID
687883a5-fd4c-4df2-a2ff-f1c47a310bd4,Quartz Dec,2025-09-28T16:16:40.428Z,2025-09-29T17:38:35.603Z,,API,,Twenty Backoffice API,{},2025-08-07T00:00:00.000Z,be39886a-24ec-4c89-b51e-e5de8fff23fa,,2025-08-12T00:00:00.000Z,ACTIVE,200,USD,,MIGRATION,UNPAID
764ac509-e615-4520-922b-b5d1c1998eff,Quartz Flooring,2025-09-29T15:40:50.803Z,2025-09-29T15:48:24.690Z,,MANUAL,e5965a9e-320c-4d03-aab4-c621309d7a82, ,{},2025-09-25T00:00:00.000Z,279ef829-bca8-41bd-9c86-515be72bde43,,2025-09-29T00:00:00.000Z,ACTIVE,200,USD,,MIGRATION,UNPAID
d1167c59-b785-4ec2-af58-2c1b78491787,Streetside Exotics,2025-09-28T16:16:29.533Z,2025-09-29T17:53:41.779Z,,API,,Twenty Backoffice API,{},2025-08-26T00:00:00.000Z,767d0d23-4f80-4783-bbf3-bb56f8f47d58,,2025-08-28T00:00:00.000Z,ACTIVE,200,USD,,MIGRATION,UNPAID
1d03bb4f-f2e3-4477-a9e3-463e4ea96185,Velocity SEO CRM,2025-09-28T16:16:32.047Z,2025-09-29T17:43:06.837Z,,API,,Twenty Backoffice API,{},2025-08-21T00:00:00.000Z,a18ed995-d362-4291-89f5-6be25f1c4ecb,,2025-08-22T00:00:00.000Z,ACTIVE,200,USD,,MIGRATION,UNPAID
0af61ec4-c7ca-439a-b5a1-780aea339e55,Window Film Revolution,2025-09-28T16:16:42.363Z,2025-09-28T19:09:45.698Z,,API,,Twenty Backoffice API,{},2025-09-25T00:00:00.000Z,ca4c453f-75b2-478f-b0e8-18f28fa73f74,,2025-08-01T00:00:00.000Z,ACTIVE,1500,USD,,WEBSITE,UNPAID
93ba3fc8-75b0-47a9-b65b-33235c43b62d,Windshields Xpress,2025-09-28T16:16:43.909Z,2025-09-28T19:09:53.926Z,,API,,Twenty Backoffice API,{},2025-05-15T00:00:00.000Z,b6268376-5ceb-45e6-8a50-d7f0acf87a23,,2025-09-01T00:00:00.000Z,ACTIVE,4000,USD,,WEBSITE,UNPAID
